Time	RS0	RS1	L0R	L0G	L0B
0	0	0	255	255	255
0.1	0	0	255	255	255
0.2	0	0	255	255	255
0.3	0	0	255	255	255
0.4	0	0	255	255	255
0.5	0	0	255	255	255
0.6	0	0	255	255	255
0.7	0	0	255	255	255
0.8	0	0	255	255	255
0.9	0	0	255	255	255
1	0	0	255	255	255
1.1	0	0	255	255	255
1.2	1	0	255	255	255
1.3	2	0	255	255	255
1.4	4	0	255	255	255
1.5	5	0	255	255	255
1.6	6	0	255	255	255
1.7	7	0	255	255	255
1.8	8	0	255	255	255
1.9	10	0	255	255	255
2	11	0	255	255	255
2.1	12	0	255	255	255
2.2	13	0	255	255	255
2.3	14	0	255	255	255
2.4	16	0	255	255	255
2.5	17	0	255	255	255
2.6	18	0	255	255	255
2.7	19	0	255	255	255
2.8	20	0	255	255	255
2.9	22	0	255	255	255
3	23	0	255	255	255
3.1	24	0	255	255	255
3.2	25	0	255	255	255
3.3	26	0	255	255	255
3.4	28	0	255	255	255
3.5	29	0	255	255	255
3.6	30	0	255	255	255
3.7	31	0	255	255	255
3.8	32	0	255	255	255
3.9	34	0	255	255	255
4	35	0	255	255	255
4.1	36	0	255	255	255
4.2	37	0	255	255	255
4.3	38	0	255	255	255
4.4	40	0	255	255	255
4.5	41	0	255	255	255
4.6	42	0	255	255	255
4.7	43	0	255	255	255
4.8	44	0	255	255	255
4.9	46	0	255	255	255
5	47	0	255	255	255
5.1	48	0	245	255	255
5.2	49	0	245	255	255
5.3	50	0	245	255	255
5.4	52	0	245	255	255
5.5	53	0	245	255	255
5.6	54	0	245	255	255
5.7	55	0	245	255	255
5.8	56	0	245	255	255
5.9	58	0	245	255	255
6	59	0	245	255	255
6.1	60	0	245	255	255
6.2	61	0	245	255	255
6.3	62	0	245	255	255
6.4	64	0	245	255	255
6.5	65	0	245	255	255
6.6	66	0	245	255	255
6.7	67	0	245	255	255
6.8	68	0	245	255	255
6.9	70	0	245	255	255
7	71	0	245	255	255
7.1	72	0	245	245	255
